"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 13 16:35:05 GMT 2023","Sun Aug 13 16:35:07 GMT 2023","2269","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedFolderThenFilesInAlsoChecked","Проверить, что если выбран чекбокс директории, то файлы и папки внутри тоже выбраны [2] Office, [Public, Private, Classified, General]",""
"passed","Sun Aug 13 16:35:09 GMT 2023","Sun Aug 13 16:35:11 GMT 2023","1577","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [2] correctUserName, null",""
"passed","Sun Aug 13 16:36:13 GMT 2023","Sun Aug 13 16:36:13 GMT 2023","0","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [2] Google",""
"passed","Sun Aug 13 16:36:49 GMT 2023","Sun Aug 13 16:36:51 GMT 2023","2742","","threadQA.TextBoxTest","","threadQA.TextBoxTest","testThatTextBoxSubmitSuccess","testThatTextBoxSubmitSuccess()",""
"passed","Sun Aug 13 16:35:17 GMT 2023","Sun Aug 13 16:35:21 GMT 2023","4256","","demoqa.PracticeFormTest","","demoqa.PracticeFormTest","testThatPracticeFormSubmitSuccess","Заполнение формы automation-practice-form корректными данными",""
"failed","Sun Aug 13 16:36:13 GMT 2023","Sun Aug 13 16:36:13 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [5] 1",""
"passed","Sun Aug 13 16:34:34 GMT 2023","Sun Aug 13 16:34:41 GMT 2023","7622","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedAllFilesThenFolderAlsoChecked","Проверить, что если выбраны все файлы/папки внутри директории, то чекбокс директории также выбран [1] WorkSpace, [React, Angular, Veu]",""
"failed","Sun Aug 13 16:35:53 GMT 2023","Sun Aug 13 16:35:58 GMT 2023","5017","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://docs.qameta.io по значению поиска Allure",""
"passed","Sun Aug 13 16:36:32 GMT 2023","Sun Aug 13 16:36:34 GMT 2023","2020","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","xlsDownloadedFileTest","xlsDownloadedFileTest()",""
"failed","Sun Aug 13 16:35:58 GMT 2023","Sun Aug 13 16:36:03 GMT 2023","4944","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://habr.com по значению поиска Habr",""
"passed","Sun Aug 13 16:36:39 GMT 2023","Sun Aug 13 16:36:41 GMT 2023","2662","","practiceWithSelenoid.TextBoxTest","","practiceWithSelenoid.TextBoxTest","testThatTextBoxSubmitSuccess","Заполнение формы /text-box корректными данными",""
"passed","Sun Aug 13 16:34:57 GMT 2023","Sun Aug 13 16:35:00 GMT 2023","3084","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [8] Home",""
"passed","Sun Aug 13 16:36:38 GMT 2023","Sun Aug 13 16:36:38 GMT 2023","86","","practiceWithFiles.filesPracticeHomeWork.getJsonWithDifferentLibTest","","practiceWithFiles.filesPracticeHomeWork.getJsonWithDifferentLibTest","getJsonWithGson","getJsonWithGson()",""
"failed","Sun Aug 13 16:35:48 GMT 2023","Sun Aug 13 16:35:53 GMT 2023","4815","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Habr",""
"failed","Sun Aug 13 16:36:13 GMT 2023","Sun Aug 13 16:36:13 GMT 2023","3","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","secondTest","secondTest()",""
"failed","Sun Aug 13 16:36:13 GMT 2023","Sun Aug 13 16:36:13 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [3] Habr",""
"passed","Sun Aug 13 16:35:35 GMT 2023","Sun Aug 13 16:35:35 GMT 2023","17","","junit.FixtureAnnotationsTest","","junit.FixtureAnnotationsTest","secondJUnitTest","secondJUnitTest()",""
"failed","Sun Aug 13 16:36:08 GMT 2023","Sun Aug 13 16:36:13 GMT 2023","4913","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://junit.org по значению поиска JUnit",""
"passed","Sun Aug 13 16:35:15 GMT 2023","Sun Aug 13 16:35:17 GMT 2023","2027","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatNotLoginIfIncorrectData","Проверить, что регистрация не осуществляется с некорректным логином / паролем [2] incorrectUserName, correctPass",""
"failed","Sun Aug 13 16:36:03 GMT 2023","Sun Aug 13 16:36:08 GMT 2023","4928","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://www.java.com по значению поиска Java",""
"passed","Sun Aug 13 16:35:32 GMT 2023","Sun Aug 13 16:35:35 GMT 2023","2746","","github.SolutionPageOpenSuccess","","github.SolutionPageOpenSuccess","testThatSolutionPageOpenSuccess","testThatSolutionPageOpenSuccess()",""
"passed","Sun Aug 13 16:36:13 GMT 2023","Sun Aug 13 16:36:13 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [1] 6",""
"passed","Sun Aug 13 16:36:13 GMT 2023","Sun Aug 13 16:36:13 GMT 2023","0","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [1] Allure",""
"passed","Sun Aug 13 16:36:38 GMT 2023","Sun Aug 13 16:36:39 GMT 2023","964","","practiceWithFiles.filesPracticeHomeWork.getJsonWithDifferentLibTest","","practiceWithFiles.filesPracticeHomeWork.getJsonWithDifferentLibTest","getJsonWithJackson","getJsonWithJackson()",""
"passed","Sun Aug 13 16:35:12 GMT 2023","Sun Aug 13 16:35:15 GMT 2023","2425","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatNotLoginIfIncorrectData","Проверить, что регистрация не осуществляется с некорректным логином / паролем [1] correctUserName, incorrectPass",""
"passed","Sun Aug 13 16:34:54 GMT 2023","Sun Aug 13 16:34:56 GMT 2023","1793","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [6] Classified",""
"passed","Sun Aug 13 16:36:37 GMT 2023","Sun Aug 13 16:36:38 GMT 2023","17","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","csvResourceFileTest","csvResourceFileTest()",""
"passed","Sun Aug 13 16:35:38 GMT 2023","Sun Aug 13 16:35:38 GMT 2023","0","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","simpleTest","Демонстрационный тест",""
"passed","Sun Aug 13 16:34:56 GMT 2023","Sun Aug 13 16:34:57 GMT 2023","1592","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [7] General",""
"broken","Sun Aug 13 16:36:13 GMT 2023","Sun Aug 13 16:36:13 GMT 2023","4","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","zipFileTest","zipFileTest()",""
"passed","Sun Aug 13 16:35:11 GMT 2023","Sun Aug 13 16:35:12 GMT 2023","1642","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [3] null, null",""
"passed","Sun Aug 13 16:35:35 GMT 2023","Sun Aug 13 16:35:35 GMT 2023","11","","junit.FixtureAnnotationsTest","","junit.FixtureAnnotationsTest","firstJUnitTest","firstJUnitTest()",""
"passed","Sun Aug 13 16:36:47 GMT 2023","Sun Aug 13 16:36:47 GMT 2023","377","","reqresin.AuthorizationTest","","reqresin.AuthorizationTest","testThatSuccessLogin","testThatSuccessLogin()",""
"passed","Sun Aug 13 16:36:13 GMT 2023","Sun Aug 13 16:36:18 GMT 2023","4955","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","xlsFileTest","xlsFileTest()",""
"failed","Sun Aug 13 16:35:38 GMT 2023","Sun Aug 13 16:35:43 GMT 2023","4952","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Allure",""
"passed","Sun Aug 13 16:36:13 GMT 2023","Sun Aug 13 16:36:13 GMT 2023","1","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","thirdTest","thirdTest()",""
"passed","Sun Aug 13 16:36:13 GMT 2023","Sun Aug 13 16:36:13 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [4] 7",""
"passed","Sun Aug 13 16:35:25 GMT 2023","Sun Aug 13 16:35:26 GMT 2023","1462","","github.SelenideContributerHover","","github.SelenideContributerHover","testThatContributerCardOpenWhenHover","testThatContributerCardOpenWhenHover()",""
"passed","Sun Aug 13 16:36:13 GMT 2023","Sun Aug 13 16:36:13 GMT 2023","12","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","jsonFileImprovedTest","jsonFileImprovedTest()",""
"passed","Sun Aug 13 16:36:42 GMT 2023","Sun Aug 13 16:36:47 GMT 2023","4318","","reqresin.AuthorizationTest","","reqresin.AuthorizationTest","testThatSuccessLoginWithPojoModels","testThatSuccessLoginWithPojoModels()",""
"broken","Sun Aug 13 16:36:34 GMT 2023","Sun Aug 13 16:36:34 GMT 2023","2","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","pdfResourceFileTestWithFactory","pdfResourceFileTestWithFactory()",""
"failed","Sun Aug 13 16:36:13 GMT 2023","Sun Aug 13 16:36:13 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [3] 3",""
"passed","Sun Aug 13 16:36:34 GMT 2023","Sun Aug 13 16:36:34 GMT 2023","19","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","xlsResourceFileTest","xlsResourceFileTest()",""
"passed","Sun Aug 13 16:34:47 GMT 2023","Sun Aug 13 16:34:49 GMT 2023","1703","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [2] Angular",""
"passed","Sun Aug 13 16:34:49 GMT 2023","Sun Aug 13 16:34:50 GMT 2023","1540","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [3] Veu",""
"passed","Sun Aug 13 16:36:48 GMT 2023","Sun Aug 13 16:36:48 GMT 2023","602","","reqresin.UserTest","","reqresin.UserTest","testThatSuccessGetUsersList","testThatSuccessGetUsersList()",""
"failed","Sun Aug 13 16:36:13 GMT 2023","Sun Aug 13 16:36:13 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [6] 2",""
"passed","Sun Aug 13 16:34:52 GMT 2023","Sun Aug 13 16:34:54 GMT 2023","1692","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [5] Private",""
"passed","Sun Aug 13 16:36:48 GMT 2023","Sun Aug 13 16:36:49 GMT 2023","221","","reqresin.UserTest","","reqresin.UserTest","testThatSuccessGetUserById","testThatSuccessGetUserById()",""
"passed","Sun Aug 13 16:36:13 GMT 2023","Sun Aug 13 16:36:13 GMT 2023","127","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","jsonFileTest","jsonFileTest()",""
