"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 29 11:40:01 GMT 2023","Sat Jul 29 11:40:04 GMT 2023","3519","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","pdfResourceFileTest","pdfResourceFileTest()",""
"passed","Sat Jul 29 11:39:59 GMT 2023","Sat Jul 29 11:40:01 GMT 2023","1991","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","xlsDownloadedFileTest","xlsDownloadedFileTest()",""
"failed","Sat Jul 29 11:39:26 GMT 2023","Sat Jul 29 11:39:30 GMT 2023","4791","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://habr.com по значению поиска Habr",""
"passed","Sat Jul 29 11:38:31 GMT 2023","Sat Jul 29 11:38:33 GMT 2023","1867","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedFolderThenFilesInAlsoChecked","Проверить, что если выбран чекбокс директории, то файлы и папки внутри тоже выбраны [1] WorkSpace, [React, Angular, Veu]",""
"passed","Sat Jul 29 11:39:40 GMT 2023","Sat Jul 29 11:39:40 GMT 2023","2","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [1] Allure",""
"passed","Sat Jul 29 11:39:40 GMT 2023","Sat Jul 29 11:39:40 GMT 2023","0","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","thirdTest","thirdTest()",""
"passed","Sat Jul 29 11:38:29 GMT 2023","Sat Jul 29 11:38:31 GMT 2023","1960","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [9] Downloads",""
"passed","Sat Jul 29 11:38:44 GMT 2023","Sat Jul 29 11:38:49 GMT 2023","4162","","demoqa.PracticeFormTest","","demoqa.PracticeFormTest","testThatPracticeFormSubmitSuccess","Заполнение формы automation-practice-form корректными данными",""
"passed","Sat Jul 29 11:38:22 GMT 2023","Sat Jul 29 11:38:24 GMT 2023","1763","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [6] Classified",""
"passed","Sat Jul 29 11:38:53 GMT 2023","Sat Jul 29 11:38:54 GMT 2023","1460","","github.SelenideContributerHover","","github.SelenideContributerHover","testThatContributerCardOpenWhenHover","testThatContributerCardOpenWhenHover()",""
