"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 29 10:15:24 GMT 2023","Sat Jul 29 10:15:24 GMT 2023","0","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [4] 7",""
"passed","Sat Jul 29 10:15:34 GMT 2023","Sat Jul 29 10:15:36 GMT 2023","1717","","practiceWithFiles.SelenideFilesTest","","practiceWithFiles.SelenideFilesTest","testSelenideUploadFilesTest","testSelenideUploadFilesTest()",""
"failed","Sat Jul 29 10:15:14 GMT 2023","Sat Jul 29 10:15:19 GMT 2023","4732","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://www.java.com по значению поиска Java",""
"passed","Sat Jul 29 10:15:51 GMT 2023","Sat Jul 29 10:15:54 GMT 2023","2492","","threadQA.TextBoxTest","","threadQA.TextBoxTest","testThatTextBoxSubmitSuccess","testThatTextBoxSubmitSuccess()",""
"passed","Sat Jul 29 10:12:35 GMT 2023","Sat Jul 29 10:12:36 GMT 2023","1182","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [2] Angular",""
"passed","Sat Jul 29 10:12:51 GMT 2023","Sat Jul 29 10:12:52 GMT 2023","1389","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [2] correctUserName, null",""
"failed","Sat Jul 29 10:15:24 GMT 2023","Sat Jul 29 10:15:24 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [5] 1",""
"passed","Sat Jul 29 10:15:24 GMT 2023","Sat Jul 29 10:15:24 GMT 2023","30","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","csvFileTest","csvFileTest()",""
"passed","Sat Jul 29 10:15:24 GMT 2023","Sat Jul 29 10:15:24 GMT 2023","2","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","thirdTest","thirdTest()",""
"passed","Sat Jul 29 10:15:24 GMT 2023","Sat Jul 29 10:15:24 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [1] 6",""
