"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 09 05:35:29 GMT 2023","Mon Oct 09 05:35:30 GMT 2023","501","","reqresin.UserTest","","reqresin.UserTest","testThatSuccessGetUsersList","testThatSuccessGetUsersList()",""
"failed","Mon Oct 09 05:34:55 GMT 2023","Mon Oct 09 05:34:55 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [6] 2",""
"passed","Mon Oct 09 05:33:38 GMT 2023","Mon Oct 09 05:33:39 GMT 2023","1528","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [4] Public",""
"passed","Mon Oct 09 05:34:04 GMT 2023","Mon Oct 09 05:34:04 GMT 2023","726","","demoqa.TextBoxTest","","demoqa.TextBoxTest","testDinamicAllureAnnotation","Тест, демонстрирующий работу Allure без аннотаций","Данный тест не содержит шагов, только  Allure описание "
"passed","Mon Oct 09 05:33:55 GMT 2023","Mon Oct 09 05:33:56 GMT 2023","1274","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [3] null, null",""
"passed","Mon Oct 09 05:34:55 GMT 2023","Mon Oct 09 05:34:55 GMT 2023","2","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [1] Allure",""
"passed","Mon Oct 09 05:34:55 GMT 2023","Mon Oct 09 05:34:55 GMT 2023","140","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","jsonFileTest","jsonFileTest()",""
"passed","Mon Oct 09 05:33:48 GMT 2023","Mon Oct 09 05:33:50 GMT 2023","1629","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedFolderThenFilesInAlsoChecked","Проверить, что если выбран чекбокс директории, то файлы и папки внутри тоже выбраны [1] WorkSpace, [React, Angular, Veu]",""
"passed","Mon Oct 09 05:35:28 GMT 2023","Mon Oct 09 05:35:28 GMT 2023","391","","reqresin.AuthorizationTest","","reqresin.AuthorizationTest","testThatSuccessLogin","testThatSuccessLogin()",""
"passed","Mon Oct 09 05:35:28 GMT 2023","Mon Oct 09 05:35:29 GMT 2023","409","","reqresin.AuthorizationTest","","reqresin.AuthorizationTest","testThatSuccessLoginWithLombokModels","testThatSuccessLoginWithLombokModels()",""
"passed","Mon Oct 09 05:34:20 GMT 2023","Mon Oct 09 05:34:20 GMT 2023","2","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","simpleTest","Демонстрационный тест",""
"failed","Mon Oct 09 05:34:54 GMT 2023","Mon Oct 09 05:34:54 GMT 2023","3","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [3] 3",""
"passed","Mon Oct 09 05:34:54 GMT 2023","Mon Oct 09 05:34:54 GMT 2023","0","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","thirdTest","thirdTest()",""
"passed","Mon Oct 09 05:35:18 GMT 2023","Mon Oct 09 05:35:18 GMT 2023","88","","practiceWithFiles.filesPracticeHomeWork.getJsonWithDifferentLibTest","","practiceWithFiles.filesPracticeHomeWork.getJsonWithDifferentLibTest","getJsonWithGson","getJsonWithGson()",""
"passed","Mon Oct 09 05:34:00 GMT 2023","Mon Oct 09 05:34:04 GMT 2023","3780","","demoqa.PracticeFormTest","","demoqa.PracticeFormTest","testThatPracticeFormSubmitSuccess","Заполнение формы automation-practice-form корректными данными",""
"passed","Mon Oct 09 05:34:54 GMT 2023","Mon Oct 09 05:34:54 GMT 2023","0","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","firstTest","firstTest()",""
"failed","Mon Oct 09 05:34:20 GMT 2023","Mon Oct 09 05:34:25 GMT 2023","4942","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Allure",""
