"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 08 12:44:42 GMT 2023","Tue Aug 08 12:44:47 GMT 2023","4966","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://docs.qameta.io по значению поиска Allure",""
"passed","Tue Aug 08 12:44:23 GMT 2023","Tue Aug 08 12:44:23 GMT 2023","10","","junit.FixtureAnnotationsTest","","junit.FixtureAnnotationsTest","firstJUnitTest","firstJUnitTest()",""
"passed","Tue Aug 08 12:43:39 GMT 2023","Tue Aug 08 12:43:40 GMT 2023","1606","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [7] General",""
"passed","Tue Aug 08 12:43:28 GMT 2023","Tue Aug 08 12:43:30 GMT 2023","2008","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [1] React",""
"passed","Tue Aug 08 12:44:08 GMT 2023","Tue Aug 08 12:44:08 GMT 2023","900","","demoqa.TextBoxTest","","demoqa.TextBoxTest","testDinamicAllureAnnotation","Тест, демонстрирующий работу Allure без аннотаций","Данный тест не содержит шагов, только  Allure описание "
"passed","Tue Aug 08 12:43:53 GMT 2023","Tue Aug 08 12:43:55 GMT 2023","2015","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [2] correctUserName, null",""
"passed","Tue Aug 08 12:45:34 GMT 2023","Tue Aug 08 12:45:40 GMT 2023","6487","","reqresin.AuthorizationTest","","reqresin.AuthorizationTest","testThatSuccessLoginWithPojoModels","testThatSuccessLoginWithPojoModels()",""
"passed","Tue Aug 08 12:45:30 GMT 2023","Tue Aug 08 12:45:34 GMT 2023","3519","","practiceWithSelenoid.TextBoxTest","","practiceWithSelenoid.TextBoxTest","testThatTextBoxSubmitSuccess","Заполнение формы /text-box корректными данными",""
"failed","Tue Aug 08 12:44:14 GMT 2023","Tue Aug 08 12:44:20 GMT 2023","5953","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","testThatFinedSelenideRepositoryAtTheTop","testThatFinedSelenideRepositoryAtTheTop()",""
"broken","Tue Aug 08 12:45:24 GMT 2023","Tue Aug 08 12:45:24 GMT 2023","2","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","testFilesFromZip","testFilesFromZip()",""
"passed","Tue Aug 08 12:44:25 GMT 2023","Tue Aug 08 12:44:27 GMT 2023","1435","","junit.SelenideTest","","junit.SelenideTest","selenideSiteShouldHaveAllButtonsGivenLocale","selenideSiteShouldHaveAllButtonsGivenLocale(Locale, List) Для локали RU, отображаются кнопки [С чего начать?, Док, ЧАВО, Блог, Javadoc, Пользователи, Отзывы]",""
"passed","Tue Aug 08 12:43:36 GMT 2023","Tue Aug 08 12:43:37 GMT 2023","1450","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [5] Private",""
"passed","Tue Aug 08 12:43:14 GMT 2023","Tue Aug 08 12:43:23 GMT 2023","9017","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedAllFilesThenFolderAlsoChecked","Проверить, что если выбраны все файлы/папки внутри директории, то чекбокс директории также выбран [1] WorkSpace, [React, Angular, Veu]",""
"failed","Tue Aug 08 12:44:27 GMT 2023","Tue Aug 08 12:44:32 GMT 2023","5137","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Allure",""
"failed","Tue Aug 08 12:45:08 GMT 2023","Tue Aug 08 12:45:14 GMT 2023","6683","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","pdfFileTest","pdfFileTest()",""
"passed","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","48","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","csvFileTest","csvFileTest()",""
"passed","Tue Aug 08 12:43:44 GMT 2023","Tue Aug 08 12:43:46 GMT 2023","1883","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [9] Downloads",""
"passed","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","0","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [1] 6",""
"passed","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:08 GMT 2023","5759","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","xlsFileTest","xlsFileTest()",""
"passed","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","1","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","thirdTest","thirdTest()",""
"passed","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","24","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","jsonFileImprovedTest","jsonFileImprovedTest()",""
"passed","Tue Aug 08 12:44:02 GMT 2023","Tue Aug 08 12:44:08 GMT 2023","5296","","demoqa.PracticeFormTest","","demoqa.PracticeFormTest","testThatPracticeFormSubmitSuccess","Заполнение формы automation-practice-form корректными данными",""
"passed","Tue Aug 08 12:43:51 GMT 2023","Tue Aug 08 12:43:53 GMT 2023","1993","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [1] null, correctPass",""
"failed","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","10","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [6] 2",""
"passed","Tue Aug 08 12:44:08 GMT 2023","Tue Aug 08 12:44:11 GMT 2023","2777","","demoqa.TextBoxTest","","demoqa.TextBoxTest","testThatTextBoxSubmitSuccess","Заполнение формы /text-box корректными данными",""
"passed","Tue Aug 08 12:45:22 GMT 2023","Tue Aug 08 12:45:24 GMT 2023","2167","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","xlsDownloadedFileTest","xlsDownloadedFileTest()",""
"broken","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","2","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","zipFileTest","zipFileTest()",""
"failed","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","4","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [3] Habr",""
"passed","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","18","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [4] 7",""
"passed","Tue Aug 08 12:43:24 GMT 2023","Tue Aug 08 12:43:28 GMT 2023","4114","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedAllFilesThenFolderAlsoChecked","Проверить, что если выбраны все файлы/папки внутри директории, то чекбокс директории также выбран [2] Office, [Public, Private, Classified, General]",""
"passed","Tue Aug 08 12:43:55 GMT 2023","Tue Aug 08 12:43:57 GMT 2023","1732","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [3] null, null",""
"failed","Tue Aug 08 12:45:16 GMT 2023","Tue Aug 08 12:45:22 GMT 2023","5688","","practiceWithFiles.SelenideFilesTest","","practiceWithFiles.SelenideFilesTest","testSelenideDownloadFilesTest","testSelenideDownloadFilesTest()",""
"passed","Tue Aug 08 12:44:20 GMT 2023","Tue Aug 08 12:44:23 GMT 2023","3500","","github.SolutionPageOpenSuccess","","github.SolutionPageOpenSuccess","testThatSolutionPageOpenSuccess","testThatSolutionPageOpenSuccess()",""
"failed","Tue Aug 08 12:44:37 GMT 2023","Tue Aug 08 12:44:42 GMT 2023","4870","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Habr",""
"passed","Tue Aug 08 12:44:23 GMT 2023","Tue Aug 08 12:44:23 GMT 2023","4","","junit.FixtureAnnotationsTest","","junit.FixtureAnnotationsTest","secondJUnitTest","secondJUnitTest()",""
"passed","Tue Aug 08 12:44:11 GMT 2023","Tue Aug 08 12:44:12 GMT 2023","865","","github.DrugAndDrop","","github.DrugAndDrop","testThatDrugAndDropSuccess","testThatDrugAndDropSuccess()",""
"passed","Tue Aug 08 12:44:23 GMT 2023","Tue Aug 08 12:44:25 GMT 2023","2105","","junit.SelenideTest","","junit.SelenideTest","selenideSiteShouldHaveAllButtonsGivenLocale","selenideSiteShouldHaveAllButtonsGivenLocale(Locale, List) Для локали EN, отображаются кнопки [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"passed","Tue Aug 08 12:45:40 GMT 2023","Tue Aug 08 12:45:41 GMT 2023","434","","reqresin.AuthorizationTest","","reqresin.AuthorizationTest","testThatSuccessLogin","testThatSuccessLogin()",""
"failed","Tue Aug 08 12:44:57 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","4800","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://junit.org по значению поиска JUnit",""
"passed","Tue Aug 08 12:43:34 GMT 2023","Tue Aug 08 12:43:36 GMT 2023","2176","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [4] Public",""
"passed","Tue Aug 08 12:45:41 GMT 2023","Tue Aug 08 12:45:41 GMT 2023","417","","reqresin.AuthorizationTest","","reqresin.AuthorizationTest","testThatSuccessLoginWithLombokModels","testThatSuccessLoginWithLombokModels()",""
"passed","Tue Aug 08 12:44:12 GMT 2023","Tue Aug 08 12:44:14 GMT 2023","1621","","github.SelenideContributerHover","","github.SelenideContributerHover","testThatContributerCardOpenWhenHover","testThatContributerCardOpenWhenHover()",""
"passed","Tue Aug 08 12:43:40 GMT 2023","Tue Aug 08 12:43:44 GMT 2023","3580","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [8] Home",""
"passed","Tue Aug 08 12:45:24 GMT 2023","Tue Aug 08 12:45:29 GMT 2023","4935","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","pdfResourceFileTest","pdfResourceFileTest()",""
"passed","Tue Aug 08 12:45:29 GMT 2023","Tue Aug 08 12:45:29 GMT 2023","23","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","csvResourceFileTest","csvResourceFileTest()",""
"passed","Tue Aug 08 12:43:30 GMT 2023","Tue Aug 08 12:43:32 GMT 2023","1990","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [2] Angular",""
"passed","Tue Aug 08 12:45:14 GMT 2023","Tue Aug 08 12:45:16 GMT 2023","1691","","practiceWithFiles.SelenideFilesTest","","practiceWithFiles.SelenideFilesTest","testSelenideUploadFilesTest","testSelenideUploadFilesTest()",""
"passed","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","4","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [4] Google",""
"failed","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","4","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [5] 1",""
"passed","Tue Aug 08 12:44:27 GMT 2023","Tue Aug 08 12:44:27 GMT 2023","1","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","simpleTest","Демонстрационный тест",""
"passed","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [2] Google",""
"passed","Tue Aug 08 12:43:37 GMT 2023","Tue Aug 08 12:43:39 GMT 2023","1395","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [6] Classified",""
"passed","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","145","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","jsonFileTest","jsonFileTest()",""
"passed","Tue Aug 08 12:45:24 GMT 2023","Tue Aug 08 12:45:24 GMT 2023","41","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","xlsResourceFileTest","xlsResourceFileTest()",""
"passed","Tue Aug 08 12:43:46 GMT 2023","Tue Aug 08 12:43:48 GMT 2023","2365","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedFolderThenFilesInAlsoChecked","Проверить, что если выбран чекбокс директории, то файлы и папки внутри тоже выбраны [1] WorkSpace, [React, Angular, Veu]",""
"passed","Tue Aug 08 12:43:57 GMT 2023","Tue Aug 08 12:43:59 GMT 2023","2506","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatNotLoginIfIncorrectData","Проверить, что регистрация не осуществляется с некорректным логином / паролем [1] correctUserName, incorrectPass",""
"passed","Tue Aug 08 12:45:41 GMT 2023","Tue Aug 08 12:45:44 GMT 2023","3034","","threadQA.TextBoxTest","","threadQA.TextBoxTest","testThatTextBoxSubmitSuccess","testThatTextBoxSubmitSuccess()",""
"failed","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","2","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","secondTest","secondTest()",""
"failed","Tue Aug 08 12:44:47 GMT 2023","Tue Aug 08 12:44:52 GMT 2023","4892","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://habr.com по значению поиска Habr",""
"passed","Tue Aug 08 12:45:02 GMT 2023","Tue Aug 08 12:45:02 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [1] Allure",""
"passed","Tue Aug 08 12:45:29 GMT 2023","Tue Aug 08 12:45:30 GMT 2023","1285","","practiceWithFiles.filesPracticeHomeWork.getJsonWithDifferentLibTest","","practiceWithFiles.filesPracticeHomeWork.getJsonWithDifferentLibTest","getJsonWithJackson","getJsonWithJackson()",""
"failed","Tue Aug 08 12:44:32 GMT 2023","Tue Aug 08 12:44:37 GMT 2023","4952","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Google",""
"passed","Tue Aug 08 12:45:29 GMT 2023","Tue Aug 08 12:45:29 GMT 2023","169","","practiceWithFiles.filesPracticeHomeWork.getJsonWithDifferentLibTest","","practiceWithFiles.filesPracticeHomeWork.getJsonWithDifferentLibTest","getJsonWithGson","getJsonWithGson()",""
