"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 12 17:44:24 GMT 2023","Sat Aug 12 17:44:25 GMT 2023","938","","demoqa.TextBoxTest","","demoqa.TextBoxTest","testDinamicAllureAnnotation","Тест, демонстрирующий работу Allure без аннотаций","Данный тест не содержит шагов, только  Allure описание "
"failed","Sat Aug 12 17:45:17 GMT 2023","Sat Aug 12 17:45:17 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [5] 1",""
"failed","Sat Aug 12 17:45:22 GMT 2023","Sat Aug 12 17:45:29 GMT 2023","6453","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","pdfFileTest","pdfFileTest()",""
"failed","Sat Aug 12 17:44:57 GMT 2023","Sat Aug 12 17:45:02 GMT 2023","4911","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://docs.qameta.io по значению поиска Allure",""
"passed","Sat Aug 12 17:45:42 GMT 2023","Sat Aug 12 17:45:42 GMT 2023","2","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","csvResourceFileTest","csvResourceFileTest()",""
"failed","Sat Aug 12 17:45:02 GMT 2023","Sat Aug 12 17:45:07 GMT 2023","4812","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://habr.com по значению поиска Habr",""
"passed","Sat Aug 12 17:45:38 GMT 2023","Sat Aug 12 17:45:42 GMT 2023","4191","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","pdfResourceFileTest","pdfResourceFileTest()",""
"passed","Sat Aug 12 17:44:12 GMT 2023","Sat Aug 12 17:44:13 GMT 2023","1833","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [2] correctUserName, null",""
"failed","Sat Aug 12 17:44:42 GMT 2023","Sat Aug 12 17:44:47 GMT 2023","5033","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Allure",""
"passed","Sat Aug 12 17:45:17 GMT 2023","Sat Aug 12 17:45:17 GMT 2023","1","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","firstTest","firstTest()",""
"failed","Sat Aug 12 17:44:30 GMT 2023","Sat Aug 12 17:44:36 GMT 2023","6114","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","testThatFinedSelenideRepositoryAtTheTop","testThatFinedSelenideRepositoryAtTheTop()",""
"failed","Sat Aug 12 17:44:47 GMT 2023","Sat Aug 12 17:44:52 GMT 2023","4938","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Google",""
