"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 29 08:57:19 GMT 2023","Sat Jul 29 08:57:22 GMT 2023","2414","","demoqa.TextBoxTest","","demoqa.TextBoxTest","testThatTextBoxSubmitSuccess","Заполнение формы /text-box корректными данными",""
"failed","Sat Jul 29 08:58:11 GMT 2023","Sat Jul 29 08:58:11 GMT 2023","2","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [6] 2",""
"passed","Sat Jul 29 08:57:02 GMT 2023","Sat Jul 29 08:57:05 GMT 2023","2282","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedFolderThenFilesInAlsoChecked","Проверить, что если выбран чекбокс директории, то файлы и папки внутри тоже выбраны [2] Office, [Public, Private, Classified, General]",""
"failed","Sat Jul 29 08:57:36 GMT 2023","Sat Jul 29 08:57:41 GMT 2023","4984","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Allure",""
"passed","Sat Jul 29 08:57:36 GMT 2023","Sat Jul 29 08:57:36 GMT 2023","1","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","simpleTest","Демонстрационный тест",""
"failed","Sat Jul 29 08:57:46 GMT 2023","Sat Jul 29 08:57:51 GMT 2023","4872","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Habr",""
"passed","Sat Jul 29 08:58:36 GMT 2023","Sat Jul 29 08:58:37 GMT 2023","1312","","practiceWithFiles.filesPracticeHomeWork.getJsonWithDifferentLibTest","","practiceWithFiles.filesPracticeHomeWork.getJsonWithDifferentLibTest","getJsonWithJackson","getJsonWithJackson()",""
"passed","Sat Jul 29 08:57:07 GMT 2023","Sat Jul 29 08:57:09 GMT 2023","1795","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [2] correctUserName, null",""
"failed","Sat Jul 29 08:58:11 GMT 2023","Sat Jul 29 08:58:11 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [3] 3",""
"broken","Sat Jul 29 08:58:32 GMT 2023","Sat Jul 29 08:58:32 GMT 2023","1","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","testFilesFromZip","testFilesFromZip()",""
"passed","Sat Jul 29 08:58:11 GMT 2023","Sat Jul 29 08:58:11 GMT 2023","6","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","thirdTest","thirdTest()",""
"passed","Sat Jul 29 08:56:31 GMT 2023","Sat Jul 29 08:56:39 GMT 2023","7859","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedAllFilesThenFolderAlsoChecked","Проверить, что если выбраны все файлы/папки внутри директории, то чекбокс директории также выбран [1] WorkSpace, [React, Angular, Veu]",""
"passed","Sat Jul 29 08:57:22 GMT 2023","Sat Jul 29 08:57:22 GMT 2023","800","","github.DrugAndDrop","","github.DrugAndDrop","testThatDrugAndDropSuccess","testThatDrugAndDropSuccess()",""
"passed","Sat Jul 29 08:57:33 GMT 2023","Sat Jul 29 08:57:35 GMT 2023","1951","","junit.SelenideTest","","junit.SelenideTest","selenideSiteShouldHaveAllButtonsGivenLocale","selenideSiteShouldHaveAllButtonsGivenLocale(Locale, List) Для локали EN, отображаются кнопки [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"failed","Sat Jul 29 08:58:01 GMT 2023","Sat Jul 29 08:58:06 GMT 2023","4877","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://www.java.com по значению поиска Java",""
"passed","Sat Jul 29 08:57:05 GMT 2023","Sat Jul 29 08:57:07 GMT 2023","1894","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [1] null, correctPass",""
"passed","Sat Jul 29 08:58:35 GMT 2023","Sat Jul 29 08:58:35 GMT 2023","2","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","csvResourceFileTest","csvResourceFileTest()",""
