"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 22 17:05:05 GMT 2023","Sat Jul 22 17:05:10 GMT 2023","4777","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Google",""
"broken","Sat Jul 22 17:05:53 GMT 2023","Sat Jul 22 17:05:53 GMT 2023","1","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","testFilesFromZip","testFilesFromZip()",""
"passed","Sat Jul 22 17:04:48 GMT 2023","Sat Jul 22 17:04:48 GMT 2023","559","","github.DrugAndDrop","","github.DrugAndDrop","testThatDrugAndDropSuccess","testThatDrugAndDropSuccess()",""
"failed","Sat Jul 22 17:05:25 GMT 2023","Sat Jul 22 17:05:30 GMT 2023","4793","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://www.java.com по значению поиска Java",""
"passed","Sat Jul 22 17:05:35 GMT 2023","Sat Jul 22 17:05:35 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [2] Google",""
"passed","Sat Jul 22 17:05:55 GMT 2023","Sat Jul 22 17:05:57 GMT 2023","2377","","threadQA.TextBoxTest","","threadQA.TextBoxTest","testThatTextBoxSubmitSuccess","testThatTextBoxSubmitSuccess()",""
"passed","Sat Jul 22 17:04:33 GMT 2023","Sat Jul 22 17:04:35 GMT 2023","1540","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedFolderThenFilesInAlsoChecked","testThatIfCheckedFolderThenFilesInAlsoChecked(String, List) [2] Office, [Public, Private, Classified, General]",""
"passed","Sat Jul 22 17:04:36 GMT 2023","Sat Jul 22 17:04:37 GMT 2023","1063","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","testThatEmptyFieldIsAlarm(String, String) [2] correctUserName, null",""
"failed","Sat Jul 22 17:04:50 GMT 2023","Sat Jul 22 17:04:56 GMT 2023","5789","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","testThatFinedSelenideRepositoryAtTheTop","testThatFinedSelenideRepositoryAtTheTop()",""
"passed","Sat Jul 22 17:04:59 GMT 2023","Sat Jul 22 17:05:00 GMT 2023","861","","junit.SelenideTest","","junit.SelenideTest","selenideSiteShouldHaveAllButtonsGivenLocale","selenideSiteShouldHaveAllButtonsGivenLocale(Locale, List) Для локали RU, отображаются кнопки [С чего начать?, Док, ЧАВО, Блог, Javadoc, Пользователи, Отзывы]",""
"passed","Sat Jul 22 17:04:35 GMT 2023","Sat Jul 22 17:04:36 GMT 2023","1468","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","testThatEmptyFieldIsAlarm(String, String) [1] null, correctPass",""
"passed","Sat Jul 22 17:05:53 GMT 2023","Sat Jul 22 17:05:54 GMT 2023","1638","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","pdfResourceFileTest","pdfResourceFileTest()",""
"passed","Sat Jul 22 17:04:56 GMT 2023","Sat Jul 22 17:04:58 GMT 2023","2289","","github.SolutionPageOpenSuccess","","github.SolutionPageOpenSuccess","testThatSolutionPageOpenSuccess","testThatSolutionPageOpenSuccess()",""
