"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 29 06:52:36 GMT 2023","Sat Jul 29 06:52:36 GMT 2023","9","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","csvResourceFileTest","csvResourceFileTest()",""
"failed","Sat Jul 29 06:52:01 GMT 2023","Sat Jul 29 06:52:06 GMT 2023","4717","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://www.java.com по значению поиска Java",""
"broken","Sat Jul 29 06:51:14 GMT 2023","Sat Jul 29 06:51:15 GMT 2023","301","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [3] Veu",""
"failed","Sat Jul 29 06:51:47 GMT 2023","Sat Jul 29 06:51:52 GMT 2023","4813","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Habr",""
"broken","Sat Jul 29 06:51:16 GMT 2023","Sat Jul 29 06:51:17 GMT 2023","290","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [9] Downloads",""
"broken","Sat Jul 29 06:51:18 GMT 2023","Sat Jul 29 06:51:19 GMT 2023","281","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatNotLoginIfIncorrectData","Проверить, что регистрация не осуществляется с некорректным логином / паролем [1] correctUserName, incorrectPass",""
"passed","Sat Jul 29 06:52:11 GMT 2023","Sat Jul 29 06:52:17 GMT 2023","5804","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","xlsFileTest","xlsFileTest()",""
"passed","Sat Jul 29 06:52:11 GMT 2023","Sat Jul 29 06:52:11 GMT 2023","1","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","firstTest","firstTest()",""
"broken","Sat Jul 29 06:51:14 GMT 2023","Sat Jul 29 06:51:14 GMT 2023","298","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [2] Angular",""
"passed","Sat Jul 29 06:52:32 GMT 2023","Sat Jul 29 06:52:36 GMT 2023","3165","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","pdfResourceFileTest","pdfResourceFileTest()",""
"passed","Sat Jul 29 06:52:11 GMT 2023","Sat Jul 29 06:52:11 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [2] Google",""
"broken","Sat Jul 29 06:51:10 GMT 2023","Sat Jul 29 06:51:13 GMT 2023","2812","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedAllFilesThenFolderAlsoChecked","Проверить, что если выбраны все файлы/папки внутри директории, то чекбокс директории также выбран [1] WorkSpace, [React, Angular, Veu]",""
"failed","Sat Jul 29 06:52:11 GMT 2023","Sat Jul 29 06:52:11 GMT 2023","2","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [3] 3",""
"broken","Sat Jul 29 06:51:20 GMT 2023","Sat Jul 29 06:51:20 GMT 2023","148","","demoqa.TextBoxTest","","demoqa.TextBoxTest","testThatTextBoxSubmitSuccess","Заполнение формы /text-box корректными данными",""
"broken","Sat Jul 29 06:51:19 GMT 2023","Sat Jul 29 06:51:19 GMT 2023","533","","demoqa.PracticeFormTest","","demoqa.PracticeFormTest","testThatPracticeFormSubmitSuccess","Заполнение формы automation-practice-form корректными данными",""
