"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 29 09:57:24 GMT 2023","Sat Jul 29 09:57:24 GMT 2023","2","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [6] 2",""
"failed","Sat Jul 29 09:56:54 GMT 2023","Sat Jul 29 09:56:59 GMT 2023","4972","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Google",""
"passed","Sat Jul 29 09:56:35 GMT 2023","Sat Jul 29 09:56:37 GMT 2023","1509","","github.SelenideContributerHover","","github.SelenideContributerHover","testThatContributerCardOpenWhenHover","testThatContributerCardOpenWhenHover()",""
"failed","Sat Jul 29 09:57:19 GMT 2023","Sat Jul 29 09:57:23 GMT 2023","4906","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://junit.org по значению поиска JUnit",""
"passed","Sat Jul 29 09:56:35 GMT 2023","Sat Jul 29 09:56:35 GMT 2023","851","","github.DrugAndDrop","","github.DrugAndDrop","testThatDrugAndDropSuccess","testThatDrugAndDropSuccess()",""
"failed","Sat Jul 29 09:56:37 GMT 2023","Sat Jul 29 09:56:43 GMT 2023","5918","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","testThatFinedSelenideRepositoryAtTheTop","testThatFinedSelenideRepositoryAtTheTop()",""
"failed","Sat Jul 29 09:57:24 GMT 2023","Sat Jul 29 09:57:24 GMT 2023","4","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [5] 1",""
"passed","Sat Jul 29 09:57:24 GMT 2023","Sat Jul 29 09:57:24 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [4] 7",""
"passed","Sat Jul 29 09:56:46 GMT 2023","Sat Jul 29 09:56:46 GMT 2023","7","","junit.FixtureAnnotationsTest","","junit.FixtureAnnotationsTest","secondJUnitTest","secondJUnitTest()",""
"broken","Sat Jul 29 09:57:44 GMT 2023","Sat Jul 29 09:57:44 GMT 2023","3","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","testFilesFromZip","testFilesFromZip()",""
