"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 27 16:50:56 GMT 2023","Thu Jul 27 16:51:00 GMT 2023","4895","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://habr.com по значению поиска Habr",""
"passed","Thu Jul 27 16:50:12 GMT 2023","Thu Jul 27 16:50:13 GMT 2023","1348","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [3] null, null",""
"passed","Thu Jul 27 16:50:10 GMT 2023","Thu Jul 27 16:50:12 GMT 2023","1508","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [2] correctUserName, null",""
"passed","Thu Jul 27 16:50:33 GMT 2023","Thu Jul 27 16:50:33 GMT 2023","1","","junit.FixtureAnnotationsTest","","junit.FixtureAnnotationsTest","firstJUnitTest","firstJUnitTest()",""
"failed","Thu Jul 27 16:50:51 GMT 2023","Thu Jul 27 16:50:56 GMT 2023","4869","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://docs.qameta.io по значению поиска Allure",""
"passed","Thu Jul 27 16:50:23 GMT 2023","Thu Jul 27 16:50:24 GMT 2023","527","","github.DrugAndDrop","","github.DrugAndDrop","testThatDrugAndDropSuccess","testThatDrugAndDropSuccess()",""
"broken","Thu Jul 27 16:51:10 GMT 2023","Thu Jul 27 16:51:10 GMT 2023","1","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","zipFileTest","zipFileTest()",""
"passed","Thu Jul 27 16:51:10 GMT 2023","Thu Jul 27 16:51:10 GMT 2023","43","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","csvFileTest","csvFileTest()",""
"failed","Thu Jul 27 16:51:05 GMT 2023","Thu Jul 27 16:51:10 GMT 2023","4806","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://junit.org по значению поиска JUnit",""
"passed","Thu Jul 27 16:51:10 GMT 2023","Thu Jul 27 16:51:10 GMT 2023","1","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","thirdTest","thirdTest()",""
"failed","Thu Jul 27 16:50:36 GMT 2023","Thu Jul 27 16:50:41 GMT 2023","4877","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Allure",""
"failed","Thu Jul 27 16:51:22 GMT 2023","Thu Jul 27 16:51:27 GMT 2023","5302","","practiceWithFiles.SelenideFilesTest","","practiceWithFiles.SelenideFilesTest","testSelenideDownloadFilesTest","testSelenideDownloadFilesTest()",""
"passed","Thu Jul 27 16:51:34 GMT 2023","Thu Jul 27 16:51:37 GMT 2023","2597","","practiceWithSelenoid.TextBoxTest","","practiceWithSelenoid.TextBoxTest","testThatTextBoxSubmitSuccess","Заполнение формы /text-box корректными данными",""
"passed","Thu Jul 27 16:50:02 GMT 2023","Thu Jul 27 16:50:04 GMT 2023","1635","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [9] Downloads",""
"failed","Thu Jul 27 16:50:25 GMT 2023","Thu Jul 27 16:50:31 GMT 2023","5527","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","testThatFinedSelenideRepositoryAtTheTop","testThatFinedSelenideRepositoryAtTheTop()",""
"failed","Thu Jul 27 16:51:10 GMT 2023","Thu Jul 27 16:51:10 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [6] 2",""
"broken","Thu Jul 27 16:51:29 GMT 2023","Thu Jul 27 16:51:29 GMT 2023","2","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","pdfResourceFileTestWithFactory","pdfResourceFileTestWithFactory()",""
"passed","Thu Jul 27 16:50:35 GMT 2023","Thu Jul 27 16:50:36 GMT 2023","968","","junit.SelenideTest","","junit.SelenideTest","selenideSiteShouldHaveAllButtonsGivenLocale","selenideSiteShouldHaveAllButtonsGivenLocale(Locale, List) Для локали RU, отображаются кнопки [С чего начать?, Док, ЧАВО, Блог, Javadoc, Пользователи, Отзывы]",""
"passed","Thu Jul 27 16:51:10 GMT 2023","Thu Jul 27 16:51:10 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [4] Google",""
"passed","Thu Jul 27 16:51:37 GMT 2023","Thu Jul 27 16:51:39 GMT 2023","2327","","threadQA.TextBoxTest","","threadQA.TextBoxTest","testThatTextBoxSubmitSuccess","testThatTextBoxSubmitSuccess()",""
"passed","Thu Jul 27 16:51:10 GMT 2023","Thu Jul 27 16:51:10 GMT 2023","0","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [2] 8",""
"passed","Thu Jul 27 16:50:33 GMT 2023","Thu Jul 27 16:50:35 GMT 2023","1647","","junit.SelenideTest","","junit.SelenideTest","selenideSiteShouldHaveAllButtonsGivenLocale","selenideSiteShouldHaveAllButtonsGivenLocale(Locale, List) Для локали EN, отображаются кнопки [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"passed","Thu Jul 27 16:49:50 GMT 2023","Thu Jul 27 16:49:51 GMT 2023","1492","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [2] Angular",""
"passed","Thu Jul 27 16:50:04 GMT 2023","Thu Jul 27 16:50:06 GMT 2023","1772","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedFolderThenFilesInAlsoChecked","Проверить, что если выбран чекбокс директории, то файлы и папки внутри тоже выбраны [1] WorkSpace, [React, Angular, Veu]",""
"passed","Thu Jul 27 16:51:10 GMT 2023","Thu Jul 27 16:51:10 GMT 2023","22","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","jsonFileImprovedTest","jsonFileImprovedTest()",""
"broken","Thu Jul 27 16:51:29 GMT 2023","Thu Jul 27 16:51:29 GMT 2023","1","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","testFilesFromZip","testFilesFromZip()",""
"passed","Thu Jul 27 16:49:57 GMT 2023","Thu Jul 27 16:49:59 GMT 2023","1900","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [7] General",""
"passed","Thu Jul 27 16:50:31 GMT 2023","Thu Jul 27 16:50:33 GMT 2023","2363","","github.SolutionPageOpenSuccess","","github.SolutionPageOpenSuccess","testThatSolutionPageOpenSuccess","testThatSolutionPageOpenSuccess()",""
"passed","Thu Jul 27 16:51:10 GMT 2023","Thu Jul 27 16:51:10 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [2] Google",""
"passed","Thu Jul 27 16:51:29 GMT 2023","Thu Jul 27 16:51:29 GMT 2023","38","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","xlsResourceFileTest","xlsResourceFileTest()",""
"passed","Thu Jul 27 16:51:10 GMT 2023","Thu Jul 27 16:51:10 GMT 2023","0","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","firstTest","firstTest()",""
"passed","Thu Jul 27 16:50:08 GMT 2023","Thu Jul 27 16:50:10 GMT 2023","2465","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [1] null, correctPass",""
"passed","Thu Jul 27 16:49:56 GMT 2023","Thu Jul 27 16:49:57 GMT 2023","1484","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [6] Classified",""
"passed","Thu Jul 27 16:50:13 GMT 2023","Thu Jul 27 16:50:15 GMT 2023","1895","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatNotLoginIfIncorrectData","Проверить, что регистрация не осуществляется с некорректным логином / паролем [1] correctUserName, incorrectPass",""
"passed","Thu Jul 27 16:51:33 GMT 2023","Thu Jul 27 16:51:34 GMT 2023","1154","","practiceWithFiles.filesPracticeHomeWork.getJsonWithDifferentLibTest","","practiceWithFiles.filesPracticeHomeWork.getJsonWithDifferentLibTest","getJsonWithJackson","getJsonWithJackson()",""
"passed","Thu Jul 27 16:50:06 GMT 2023","Thu Jul 27 16:50:08 GMT 2023","1877","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedFolderThenFilesInAlsoChecked","Проверить, что если выбран чекбокс директории, то файлы и папки внутри тоже выбраны [2] Office, [Public, Private, Classified, General]",""
"passed","Thu Jul 27 16:51:10 GMT 2023","Thu Jul 27 16:51:10 GMT 2023","0","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [4] 7",""
"passed","Thu Jul 27 16:50:21 GMT 2023","Thu Jul 27 16:50:22 GMT 2023","277","","demoqa.TextBoxTest","","demoqa.TextBoxTest","testDinamicAllureAnnotation","Тест, демонстрирующий работу Allure без аннотаций","Данный тест не содержит шагов, только  Allure описание "
"failed","Thu Jul 27 16:51:10 GMT 2023","Thu Jul 27 16:51:10 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [5] 1",""
"failed","Thu Jul 27 16:51:15 GMT 2023","Thu Jul 27 16:51:21 GMT 2023","6097","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","pdfFileTest","pdfFileTest()",""
