"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 21 11:10:25 GMT 2023","Fri Jul 21 11:10:25 GMT 2023","23","","demoqa.TextBoxTest","","demoqa.TextBoxTest","testDinamicAllureAnnotation","Тест, демонстрирующий работу Allure без аннотаций","Данный тест не содержит шагов, только  Allure описание "
"passed","Fri Jul 21 11:10:33 GMT 2023","Fri Jul 21 11:10:36 GMT 2023","3258","","threadQA.TextBoxTest","","threadQA.TextBoxTest","testThatTextBoxSubmitSuccess","testThatTextBoxSubmitSuccess()",""
"passed","Fri Jul 21 11:10:25 GMT 2023","Fri Jul 21 11:10:33 GMT 2023","7504","","demoqa.TextBoxTest","","demoqa.TextBoxTest","testThatTextBoxSubmitSuccess","Заполнение формы /text-box корректными данными",""
