"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 15:15:02 GMT 2023","Sun Jul 23 15:15:03 GMT 2023","394","","github.DrugAndDrop","","github.DrugAndDrop","testThatDrugAndDropSuccess","testThatDrugAndDropSuccess()",""
"passed","Sun Jul 23 15:14:52 GMT 2023","Sun Jul 23 15:14:53 GMT 2023","1092","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","testThatEmptyFieldIsAlarm(String, String) [2] correctUserName, null",""
"passed","Sun Jul 23 15:15:03 GMT 2023","Sun Jul 23 15:15:04 GMT 2023","1180","","github.SelenideContributerHover","","github.SelenideContributerHover","testThatContributerCardOpenWhenHover","testThatContributerCardOpenWhenHover()",""
"passed","Sun Jul 23 15:15:48 GMT 2023","Sun Jul 23 15:15:48 GMT 2023","0","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [2] 8",""
"failed","Sun Jul 23 15:15:48 GMT 2023","Sun Jul 23 15:15:48 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [3] Habr",""
"broken","Sun Jul 23 15:16:05 GMT 2023","Sun Jul 23 15:16:05 GMT 2023","1","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","pdfResourceFileTestWithFactory","pdfResourceFileTestWithFactory()",""
"passed","Sun Jul 23 15:15:01 GMT 2023","Sun Jul 23 15:15:02 GMT 2023","1293","","demoqa.TextBoxTest","","demoqa.TextBoxTest","testThatTextBoxSubmitSuccess","Заполнение формы /text-box корректными данными",""
"passed","Sun Jul 23 15:14:42 GMT 2023","Sun Jul 23 15:14:43 GMT 2023","947","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","testThatCheckedValueInSelectedResultList(String) [5] Private",""
"passed","Sun Jul 23 15:14:29 GMT 2023","Sun Jul 23 15:14:35 GMT 2023","6087","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedAllFilesThenFolderAlsoChecked","testThatIfCheckedAllFilesThenFolderAlsoChecked(String, List) [1] WorkSpace, [React, Angular, Veu]",""
"failed","Sun Jul 23 15:15:43 GMT 2023","Sun Jul 23 15:15:48 GMT 2023","4751","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://junit.org по значению поиска JUnit",""
"failed","Sun Jul 23 15:15:28 GMT 2023","Sun Jul 23 15:15:33 GMT 2023","4957","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://docs.qameta.io по значению поиска Allure",""
"passed","Sun Jul 23 15:15:12 GMT 2023","Sun Jul 23 15:15:12 GMT 2023","14","","junit.FixtureAnnotationsTest","","junit.FixtureAnnotationsTest","firstJUnitTest","firstJUnitTest()",""
"passed","Sun Jul 23 15:15:12 GMT 2023","Sun Jul 23 15:15:13 GMT 2023","1309","","junit.SelenideTest","","junit.SelenideTest","selenideSiteShouldHaveAllButtonsGivenLocale","selenideSiteShouldHaveAllButtonsGivenLocale(Locale, List) Для локали EN, отображаются кнопки [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"failed","Sun Jul 23 15:15:04 GMT 2023","Sun Jul 23 15:15:09 GMT 2023","5456","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","testThatFinedSelenideRepositoryAtTheTop","testThatFinedSelenideRepositoryAtTheTop()",""
"passed","Sun Jul 23 15:16:09 GMT 2023","Sun Jul 23 15:16:12 GMT 2023","2177","","practiceWithSelenoid.TextBoxTest","","practiceWithSelenoid.TextBoxTest","testThatTextBoxSubmitSuccess","Заполнение формы /text-box корректными данными",""
"passed","Sun Jul 23 15:14:47 GMT 2023","Sun Jul 23 15:14:49 GMT 2023","1091","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","testThatCheckedValueInSelectedResultList(String) [9] Downloads",""
"passed","Sun Jul 23 15:14:53 GMT 2023","Sun Jul 23 15:14:54 GMT 2023","814","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","testThatEmptyFieldIsAlarm(String, String) [3] null, null",""
"passed","Sun Jul 23 15:14:39 GMT 2023","Sun Jul 23 15:14:41 GMT 2023","1343","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","testThatCheckedValueInSelectedResultList(String) [2] Angular",""
"passed","Sun Jul 23 15:15:48 GMT 2023","Sun Jul 23 15:15:48 GMT 2023","3","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","firstTest","firstTest()",""
"failed","Sun Jul 23 15:15:24 GMT 2023","Sun Jul 23 15:15:28 GMT 2023","4748","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Habr",""
"passed","Sun Jul 23 15:15:48 GMT 2023","Sun Jul 23 15:15:48 GMT 2023","24","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","csvFileTest","csvFileTest()",""
